Date,Open,High,Low,Close
12/08/2022,244.809998,249.410004,243.759995,249.300003
11/08/2022,244.679993,251.619995,241.509995,242.699997
10/08/2022,236.990005,244.539993,236.600006,244.110001
09/08/2022,231.619995,232.199997,224.649994,229.940002
08/08/2022,227.490005,241.960007,226.410004,233.490005
05/08/2022,225.300003,228.619995,222.869995,226.779999
04/08/2022,227.679993,232.070007,225.050003,229.910004
03/08/2022,224.789993,228.100006,222.419998,226.729996
02/08/2022,222.759995,228.199997,220.880005,221.419998
01/08/2022,223.100006,228.389999,221,226.210007
29/07/2022,223.289993,230.75,222.399994,224.899994
28/07/2022,224.600006,228.100006,219.669998,226.020004
27/07/2022,216.479996,227.779999,214.580002,226.75
26/07/2022,216.660004,219.389999,211.639999,213.910004
25/07/2022,221.309998,225.229996,216.350006,218.509995
22/07/2022,222.380005,229.350006,218.440002,220.440002
21/07/2022,214.300003,224.320007,211.5,223.880005
20/07/2022,208.169998,216.970001,200.100006,216.440002
19/07/2022,193.020004,201.970001,188.399994,201.630005
18/07/2022,192.5,199.669998,189.800003,190.919998
15/07/2022,175.580002,189.220001,174.559998,189.110001
14/07/2022,175.559998,177.520004,171.820007,174.779999
13/07/2022,170.5,179.179993,169.699997,176.559998
12/07/2022,177.330002,179.779999,173.419998,174.449997
11/07/2022,184.729996,184.990005,176.889999,177.339996
08/07/2022,186.020004,189.910004,182.75,186.979996
07/07/2022,184.270004,190.210007,183.5,189.270004
06/07/2022,185.199997,186.220001,180.820007,184.059998
05/07/2022,176.279999,185.919998,172.679993,185.880005
01/07/2022,176.490005,180.100006,174.270004,179.949997
30/06/2022,177.070007,179.449997,170.300003,174.869995
29/06/2022,179.550003,180.669998,175.100006,178.360001
28/06/2022,189.199997,192.199997,179.369995,179.600006
27/06/2022,191.770004,191.779999,182.389999,189.139999
24/06/2022,183.5,191.190002,181.839996,190.850006
23/06/2022,180.5,182.759995,175.869995,181.710007
22/06/2022,170.75,182.820007,170.199997,178.889999
21/06/2022,177.600006,178.619995,169.800003,170.910004
17/06/2022,173.630005,179.649994,173.339996,175.509995
